processes,N,execution_s,computation_s,communication_s
4,7200,0.0010149170,0.0003808890,0.0006340280
4,7200,0.0009300481,0.0003471251,0.0005829230
4,7200,0.0274423566,0.0003534370,0.0270889197
4,7200,0.0007522420,0.0003735330,0.0003787090
4,7200,0.0233352762,0.0002704060,0.0230648704
4,7200,0.0006433160,0.0003808760,0.0002624399
4,7200,0.0165065769,0.0003508530,0.0161557235
4,7200,0.0007118311,0.0003481990,0.0003636321
4,7200,0.0070101852,0.0003644680,0.0066457172
4,7200,0.0144967213,0.0003478880,0.0141488332
4,7200,0.0006242350,0.0003822000,0.0002420350
4,7200,0.0090665109,0.0003484478,0.0087180631
4,7200,0.0135237509,0.0003769021,0.0131468493
4,7200,0.0006067780,0.0003786439,0.0002281341
4,7200,0.0007582270,0.0003605940,0.0003976329
4,7200,0.0015736420,0.0003528851,0.0012207569
4,7200,0.0258500706,0.0003630730,0.0254869983
4,7200,0.0007187610,0.0003848350,0.0003339260
4,10800,0.0009770360,0.0005673300,0.0004097060
4,10800,0.0008584380,0.0005797210,0.0002787170
4,10800,0.0009556690,0.0005613409,0.0003943280
4,10800,0.0134703070,0.0005182290,0.0129520781
4,10800,0.0009152841,0.0005621840,0.0003531001
4,10800,0.0009687071,0.0005750660,0.0003936411
4,10800,0.0134211443,0.0005481401,0.0128730042
4,10800,0.0026502758,0.0005341028,0.0021161730
4,10800,0.0148600619,0.0005138190,0.0143462429
4,10800,0.0141543662,0.0004237620,0.0137306042
4,10800,0.0012137200,0.0005440289,0.0006696910
4,10800,0.0032965622,0.0005312980,0.0027652644
4,10800,0.0012056739,0.0005819360,0.0006237379
4,10800,0.0042297509,0.0005310360,0.0036987150
4,10800,0.0259780250,0.0005175930,0.0254604314
4,10800,0.0009528109,0.0005880630,0.0003647479
4,10800,0.0009758380,0.0005828800,0.0003929580
4,10800,0.0252178833,0.0004325830,0.0247853007
4,10800,0.0016509939,0.0005925680,0.0010584260
4,10800,0.0013841119,0.0005351671,0.0008489449
4,14400,0.0011715870,0.0007762650,0.0003953220
4,14400,0.0014641548,0.0007480540,0.0007161008
4,14400,0.0190443955,0.0007973947,0.0182470009
4,14400,0.0019968308,0.0007072740,0.0012895567
4,14400,0.0013582330,0.0007435590,0.0006146741
4,14400,0.0015146870,0.0007152190,0.0007994680
4,14400,0.0069578029,0.0007306784,0.0062271245
4,14400,0.0394777618,0.0007320531,0.0387457088
4,14400,0.0012014598,0.0007865120,0.0004149477
4,14400,0.0402550325,0.0006979890,0.0395570435
4,14400,0.0012022180,0.0007503210,0.0004518970
4,14400,0.0063769291,0.0006181990,0.0057587302
4,14400,0.0034479320,0.0007278631,0.0027200689
4,14400,0.0014476769,0.0007755000,0.0006721769
4,14400,0.0103330957,0.0007241840,0.0096089114
4,14400,0.0012397920,0.0008174051,0.0004223869
4,14400,0.0014200069,0.0006530581,0.0007669488
4,14400,0.0014196921,0.0007792640,0.0006404280
4,14400,0.0011609761,0.0007460280,0.0004149482
4,14400,0.0026914091,0.0008187320,0.0018726771
4,18000,0.0022392550,0.0007037450,0.0015355099
4,18000,0.0013889049,0.0009162669,0.0004726379
4,18000,0.0016071821,0.0010451679,0.0005620142
4,18000,0.0020893400,0.0009233420,0.0011659981
4,18000,0.0395092703,0.0008175031,0.0386917666
4,18000,0.0015163639,0.0009826641,0.0005336999
4,18000,0.0020833982,0.0009849770,0.0010984212
4,18000,0.0018123869,0.0010090091,0.0008033778
4,18000,0.0015993400,0.0008532680,0.0007460720
4,18000,0.0137177659,0.0009578640,0.0127599016
4,18000,0.0015054031,0.0009187770,0.0005866261
